127.0.0.1 - - [09/Dec/2025:21:36:52 +0300] "GET / HTTP/1.1" 200 1631 "-" "curl/8.17.0"
127.0.0.1 - - [09/Dec/2025:21:37:00 +0300] "l\x00\x0B\x00\x00\x00\x00\x00\x00\x00\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [09/Dec/2025:21:37:00 +0300] "l\x00\x0B\x00\x00\x00\x00\x00\x00\x00\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [09/Dec/2025:21:37:05 +0300] "l\x00\x0B\x00\x00\x00\x00\x00\x00\x00\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [09/Dec/2025:21:37:05 +0300] "l\x00\x0B\x00\x00\x00\x00\x00\x00\x00\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [09/Dec/2025:21:37:10 +0300] "l\x00\x0B\x00\x00\x00\x00\x00\x00\x00\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [09/Dec/2025:21:37:10 +0300] "l\x00\x0B\x00\x00\x00\x00\x00\x00\x00\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [09/Dec/2025:21:37:15 +0300] "l\x00\x0B\x00\x00\x00\x00\x00\x00\x00\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [09/Dec/2025:21:37:15 +0300] "l\x00\x0B\x00\x00\x00\x00\x00\x00\x00\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [09/Dec/2025:21:37:20 +0300] "l\x00\x0B\x00\x00\x00\x00\x00\x00\x00\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [09/Dec/2025:21:37:20 +0300] "l\x00\x0B\x00\x00\x00\x00\x00\x00\x00\x00\x00" 400 157 "-" "-"
127.0.0.1 - - [09/Dec/2025:21:38:15 +0300] "GET / HTTP/1.1" 200 1631 "-" "curl/8.17.0"
127.0.0.1 - - [09/Dec/2025:21:42:23 +0300] "GET / HTTP/1.1" 200 1631 "-" "curl/8.17.0"
127.0.0.1 - - [09/Dec/2025:21:43:01 +0300] "GET / HTTP/1.1" 200 409 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Dec/2025:21:43:01 +0300] "GET /favicon.ico HTTP/1.1" 404 187 "http://localhost/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Dec/2025:21:46:05 +0300] "GET / HTTP/1.1" 200 1631 "-" "curl/8.17.0"
127.0.0.1 - - [09/Dec/2025:21:46:51 +0300] "GET / HTTP/1.1" 200 634 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Dec/2025:21:46:51 +0300] "GET /assets/index-K1m2g8fn.js HTTP/1.1" 200 170405 "http://localhost:4200/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Dec/2025:21:46:51 +0300] "GET /assets/index-FUvVewE8.css HTTP/1.1" 200 13598 "http://localhost:4200/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
